iter	Passed	Remaining
0	1	108
1	1	93
2	2	93
3	3	89
4	5	101
5	6	99
6	7	98
7	8	95
8	9	94
9	10	92
10	11	90
11	12	89
12	13	88
13	14	86
14	15	85
15	16	84
16	17	83
17	18	82
18	19	81
19	20	80
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	72
26	26	71
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	87	69
56	88	66
57	89	64
58	90	62
59	91	60
60	92	58
61	93	57
62	93	55
63	94	53
64	95	51
65	96	49
66	97	47
67	97	46
68	98	44
69	99	42
70	100	41
71	101	39
72	102	37
73	103	36
74	104	34
75	105	33
76	105	31
77	106	30
78	107	28
79	108	27
80	109	25
81	110	24
82	110	22
83	111	21
84	112	19
85	113	18
86	114	17
87	114	15
88	115	14
89	116	12
90	117	11
91	118	10
92	119	8
93	119	7
94	120	6
95	121	5
96	122	3
97	123	2
98	124	1
99	124	0
